4	5	4	31.45728
8	5	8	896.7946240000001
12	5	12	2140.1436160000003
16	5	16	3287.2857599999998
20	5	20	2422.21056
24	5	24	2348.81024
28	5	28	3058.171904
32	5	32	2677.538816
36	5	36	2569.0112
40	13	40	2401.23904
44	21	44	3179.8067199999996
48	30	48	7683.964927999999
52	30	52	13585.350655999999
56	30	56	16490.954751999998
60	30	60	15459.155968
64	29	64	14742.454271999999
68	30	68	15737.552896
72	29	72	17471.373312
76	29	76	14894.497792
80	30	80	15017.705472000001
84	31	84	14066.64704
88	31	88	16733.700096
92	31	92	13858.504703999999
96	30	96	13560.70912
100	30	100	16196.829184
104	30	104	14194.049024
108	30	108	16620.978176
112	32	112	13876.330495999999
116	32	116	15237.382144
120	31	120	16816.5376
124	32	124	15842.934784000001
128	31	128	17351.31136
132	31	132	15771.107328
136	31	136	13755.219968
140	31	140	12272.533503999999
144	31	144	13105.627136
148	31	148	16772.497408000003
152	29	152	14758.707199999999
156	29	156	15431.368704
160	29	160	14356.054016
164	58	164	14912.323584
168	58	168	13915.652096
172	58	172	14265.87648
176	58	176	16221.995007999998
